Código,Nome empresa,cd2,link Bovespa,Nome completo empresa,Link trading view,Link google,Segmento empresa,SETOR,SUBSETOR,SEGMENTO
CLSC4,CELESC,CLSC,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=2461,CENTRAIS ELET DE SANTA CATARINA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CLSC4,https://www.google.com/search?q=CELESC Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMIG3,CEMIG,CMIG,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,https://br.tradingview.com/symbols/BMFBOVESPA-CMIG3,https://www.google.com/search?q=CEMIG Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMSA3,CIMS,CMSA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14818,CIMS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CMSA3,https://www.google.com/search?q=CIMS Outros,Outros,Outros,Outros,Outros
CMSA4,CIMS,CMSA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14818,CIMS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CMSA4,https://www.google.com/search?q=CIMS Outros,Outros,Outros,Outros,Outros
CNSY3,CINESYSTEM,CNSY,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23965,CINESYSTEM S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CNSY3,https://www.google.com/search?q=CINESYSTEM Produção e Difusão de Filmes e Programas,Produção e Difusão de Filmes e Programas,Comunicações,Mídia,Produção e Difusão de Filmes e Programas
CNTO3,CENTAURO,CNTO,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24694,GRUPO SBF SA,https://br.tradingview.com/symbols/BMFBOVESPA-CNTO3,https://www.google.com/search?q=CENTAURO Produtos Diversos,Produtos Diversos,Consumo Cíclico,Comércio,Produtos Diversos
COCE3,COELCE,COCE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14869,CIA ENERGETICA DO CEARA - COELCE,https://br.tradingview.com/symbols/BMFBOVESPA-COCE3,https://www.google.com/search?q=COELCE Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
COCE5,COELCE,COCE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14869,CIA ENERGETICA DO CEARA - COELCE,https://br.tradingview.com/symbols/BMFBOVESPA-COCE5,https://www.google.com/search?q=COELCE Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
COCE6,COELCE,COCE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14869,CIA ENERGETICA DO CEARA - COELCE,https://br.tradingview.com/symbols/BMFBOVESPA-COCE6,https://www.google.com/search?q=COELCE Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
COGN3,COGNA ON,COGN,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=17973,KROTON EDUCACIONAL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-COGN3,https://www.google.com/search?q=COGNA ON Serviços Educacionais,Serviços Educacionais,Consumo Cíclico,Diversos,Serviços Educacionais
CORR3,COR RIBEIRO,CORR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4863,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,https://br.tradingview.com/symbols/BMFBOVESPA-CORR3,https://www.google.com/search?q=COR RIBEIRO Exploração de Imóveis,Exploração de Imóveis,Financeiro,Exploração de Imóveis,Exploração de Imóveis
CORR4,COR RIBEIRO,CORR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4863,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,https://br.tradingview.com/symbols/BMFBOVESPA-CORR4,https://www.google.com/search?q=COR RIBEIRO Exploração de Imóveis,Exploração de Imóveis,Financeiro,Exploração de Imóveis,Exploração de Imóveis
CPFE3,CPFL ENERGIA,CPFE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18660,CPFL ENERGIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CPFE3,https://www.google.com/search?q=CPFL ENERGIA Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE3,COPEL,CPLE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14311,CIA PARANAENSE DE ENERGIA - COPEL,https://br.tradingview.com/symbols/BMFBOVESPA-CPLE3,https://www.google.com/search?q=COPEL Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE5,COPEL,CPLE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14311,CIA PARANAENSE DE ENERGIA - COPEL,https://br.tradingview.com/symbols/BMFBOVESPA-CPLE5,https://www.google.com/search?q=COPEL Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE6,COPEL,CPLE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14311,CIA PARANAENSE DE ENERGIA - COPEL,https://br.tradingview.com/symbols/BMFBOVESPA-CPLE6,https://www.google.com/search?q=COPEL Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
CRDE3,CR2,CRDE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20630,CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CRDE3,https://www.google.com/search?q=CR2 Incorporações,Incorporações,Consumo Cíclico,Construção Civil,Incorporações
CRFB3,CARREFOUR BR,CRFB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24171,ATACADÃO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CRFB3,https://www.google.com/search?q=CARREFOUR BR Alimentos,Alimentos,Consumo não Cíclico,Comércio e Distribuição,Alimentos
CRIV3,ALFA FINANC,CRIV,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3891,FINANCEIRA ALFA S.A.- CRED FINANC E INVS,https://br.tradingview.com/symbols/BMFBOVESPA-CRIV3,https://www.google.com/search?q=ALFA FINANC Soc. Crédito e Financiamento,Soc. Crédito e Financiamento,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
CRIV4,ALFA FINANC,CRIV,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3891,FINANCEIRA ALFA S.A.- CRED FINANC E INVS,https://br.tradingview.com/symbols/BMFBOVESPA-CRIV4,https://www.google.com/search?q=ALFA FINANC Soc. Crédito e Financiamento,Soc. Crédito e Financiamento,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
CRPG3,CRISTAL,CRPG,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=11398,TRONOX PIGMENTOS DO BRASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CRPG3,https://www.google.com/search?q=CRISTAL Químicos Diversos,Químicos Diversos,Materiais Básicos,Químicos,Químicos Diversos
CRPG5,CRISTAL,CRPG,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=11398,TRONOX PIGMENTOS DO BRASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CRPG5,https://www.google.com/search?q=CRISTAL Químicos Diversos,Químicos Diversos,Materiais Básicos,Químicos,Químicos Diversos
CRPG6,CRISTAL,CRPG,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=11398,TRONOX PIGMENTOS DO BRASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CRPG6,https://www.google.com/search?q=CRISTAL Químicos Diversos,Químicos Diversos,Materiais Básicos,Químicos,Químicos Diversos
CRTE3B,CONC RIO TER,CRTE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19208,CONC RIO-TERESOPOLIS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CRTE3B,https://www.google.com/search?q=CONC RIO TER Exploração de Rodovias,Exploração de Rodovias,Bens Industriais,Transporte,Exploração de Rodovias
CRTE5B,CONC RIO TER,CRTE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19208,CONC RIO-TERESOPOLIS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CRTE5B,https://www.google.com/search?q=CONC RIO TER Exploração de Rodovias,Exploração de Rodovias,Bens Industriais,Transporte,Exploração de Rodovias
CSAB3,SEG AL BAHIA,CSAB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3115,CIA SEGUROS ALIANCA DA BAHIA,https://br.tradingview.com/symbols/BMFBOVESPA-CSAB3,https://www.google.com/search?q=SEG AL BAHIA Seguradoras,Seguradoras,Financeiro,Previdência e Seguros,Seguradoras
CSAB4,SEG AL BAHIA,CSAB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3115,CIA SEGUROS ALIANCA DA BAHIA,https://br.tradingview.com/symbols/BMFBOVESPA-CSAB4,https://www.google.com/search?q=SEG AL BAHIA Seguradoras,Seguradoras,Financeiro,Previdência e Seguros,Seguradoras
CSAN3,COSAN,CSAN,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19836,COSAN S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CSAN3,"https://www.google.com/search?q=COSAN Exploração, Refino e Distribuição","Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
CSMG3,COPASA,CSMG,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,https://br.tradingview.com/symbols/BMFBOVESPA-CSMG3,https://www.google.com/search?q=COPASA Água e Saneamento,Água e Saneamento,Utilidade Pública,Água e Saneamento,Água e Saneamento
CSNA3,SID NACIONAL,CSNA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4030,CIA SIDERURGICA NACIONAL,https://br.tradingview.com/symbols/BMFBOVESPA-CSNA3,https://www.google.com/search?q=SID NACIONAL Siderurgia,Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
CSRN3,COSERN,CSRN,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18139,CIA ENERGETICA DO RIO GDE NORTE - COSERN,https://br.tradingview.com/symbols/BMFBOVESPA-CSRN3,https://www.google.com/search?q=COSERN Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
CSRN5,COSERN,CSRN,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18139,CIA ENERGETICA DO RIO GDE NORTE - COSERN,https://br.tradingview.com/symbols/BMFBOVESPA-CSRN5,https://www.google.com/search?q=COSERN Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
CSRN6,COSERN,CSRN,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18139,CIA ENERGETICA DO RIO GDE NORTE - COSERN,https://br.tradingview.com/symbols/BMFBOVESPA-CSRN6,https://www.google.com/search?q=COSERN Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
CTKA3,KARSTEN,CTKA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4146,KARSTEN S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CTKA3,https://www.google.com/search?q=KARSTEN Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTKA4,KARSTEN,CTKA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4146,KARSTEN S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CTKA4,https://www.google.com/search?q=KARSTEN Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTNM3,COTEMINAS,CTNM,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3158,CIA TECIDOS NORTE DE MINAS COTEMINAS,https://br.tradingview.com/symbols/BMFBOVESPA-CTNM3,https://www.google.com/search?q=COTEMINAS Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTNM4,COTEMINAS,CTNM,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3158,CIA TECIDOS NORTE DE MINAS COTEMINAS,https://br.tradingview.com/symbols/BMFBOVESPA-CTNM4,https://www.google.com/search?q=COTEMINAS Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTSA3,SANTANENSE,CTSA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4081,CIA TECIDOS SANTANENSE,https://br.tradingview.com/symbols/BMFBOVESPA-CTSA3,https://www.google.com/search?q=SANTANENSE Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTSA4,SANTANENSE,CTSA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4081,CIA TECIDOS SANTANENSE,https://br.tradingview.com/symbols/BMFBOVESPA-CTSA4,https://www.google.com/search?q=SANTANENSE Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTSA8,SANTANENSE,CTSA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4081,CIA TECIDOS SANTANENSE,https://br.tradingview.com/symbols/BMFBOVESPA-CTSA8,https://www.google.com/search?q=SANTANENSE Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CURY3,CURY S/A,CURY,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25100&idioma=pt-br,CURY CONSTRUTORA E INCORPORADORA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CURY3,https://www.google.com/search?q=CURY S/A Incorporações,Incorporações,Consumo Cíclico,Construção Civil,Incorporações
CVCB3,CVC BRASIL,CVCB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23310,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-CVCB3,https://www.google.com/search?q=CVC BRASIL Viagens e Turismo,Viagens e Turismo,Consumo Cíclico,Viagens e Lazer,Viagens e Turismo
CYRE3,CYRELA REALT,CYRE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14460,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,https://br.tradingview.com/symbols/BMFBOVESPA-CYRE3,https://www.google.com/search?q=CYRELA REALT Incorporações,Incorporações,Consumo Cíclico,Construção Civil,Incorporações
DASA3,DASA,DASA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19623,DIAGNOSTICOS DA AMERICA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-DASA3,https://www.google.com/search?q=DASA Análises e Diagnósticos,Análises e Diagnósticos,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
DIRR3,DIRECIONAL,DIRR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21350,DIRECIONAL ENGENHARIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-DIRR3,https://www.google.com/search?q=DIRECIONAL Incorporações,Incorporações,Consumo Cíclico,Construção Civil,Incorporações
DMMO3,DOMMO,DMMO,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23493,DOMMO ENERGIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-DMMO3,"https://www.google.com/search?q=DOMMO Exploração, Refino e Distribuição","Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
DMVF3,D1000VFARMA,DMVF,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25046&idioma=pt-br,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-DMVF3,https://www.google.com/search?q=D1000VFARMA Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
DOHL3,DOHLER,DOHL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=5207,DOHLER S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-DOHL3,https://www.google.com/search?q=DOHLER Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
DOHL4,DOHLER,DOHL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=5207,DOHLER S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-DOHL4,https://www.google.com/search?q=DOHLER Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
DTCY3,DTCOM-DIRECT,DTCY,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18597,DTCOM - DIRECT TO COMPANY S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-DTCY3,https://www.google.com/search?q=DTCOM-DIRECT Serviços Diversos,Serviços Diversos,Bens Industriais,Serviços Diversos,Serviços Diversos
DTCY4,DTCOM-DIRECT,DTCY,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18597,DTCOM - DIRECT TO COMPANY S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-DTCY4,https://www.google.com/search?q=DTCOM-DIRECT Serviços Diversos,Serviços Diversos,Bens Industriais,Serviços Diversos,Serviços Diversos
DTEX3,DURATEX,DTEX,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21091,DURATEX S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-DTEX3,https://www.google.com/search?q=DURATEX Madeira,Madeira,Materiais Básicos,Madeira e Papel,Madeira
EALT3,ACO ALTONA,EALT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=5380,ELECTRO ACO ALTONA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-EALT3,https://www.google.com/search?q=ACO ALTONA Máq. e Equip. Industriais,Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
EALT4,ACO ALTONA,EALT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=5380,ELECTRO ACO ALTONA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-EALT4,https://www.google.com/search?q=ACO ALTONA Máq. e Equip. Industriais,Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
ECOR3,ECORODOVIAS,ECOR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19453,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ECOR3,https://www.google.com/search?q=ECORODOVIAS Exploração de Rodovias,Exploração de Rodovias,Bens Industriais,Transporte,Exploração de Rodovias
ECPR3,ENCORPAR,ECPR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16497,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,https://br.tradingview.com/symbols/BMFBOVESPA-ECPR3,https://www.google.com/search?q=ENCORPAR Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
ECPR4,ENCORPAR,ECPR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16497,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,https://br.tradingview.com/symbols/BMFBOVESPA-ECPR4,https://www.google.com/search?q=ENCORPAR Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
EEEL3,CEEE-GT,EEEL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3204,CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,https://br.tradingview.com/symbols/BMFBOVESPA-EEEL3,https://www.google.com/search?q=CEEE-GT Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
EEEL4,CEEE-GT,EEEL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3204,CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,https://br.tradingview.com/symbols/BMFBOVESPA-EEEL4,https://www.google.com/search?q=CEEE-GT Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
EGIE3,ENGIE BRASIL,EGIE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=17329,ENGIE BRASIL ENERGIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-EGIE3,https://www.google.com/search?q=ENGIE BRASIL Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
EKTR3,ELEKTRO,EKTR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=17485,ELEKTRO REDES S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-EKTR3,https://www.google.com/search?q=ELEKTRO Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
EKTR4,ELEKTRO,EKTR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=17485,ELEKTRO REDES S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-EKTR4,https://www.google.com/search?q=ELEKTRO Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELET3,ELETROBRAS,ELET,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,https://br.tradingview.com/symbols/BMFBOVESPA-ELET3,https://www.google.com/search?q=ELETROBRAS Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELET5,ELETROBRAS,ELET,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,https://br.tradingview.com/symbols/BMFBOVESPA-ELET5,https://www.google.com/search?q=ELETROBRAS Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELET6,ELETROBRAS,ELET,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,https://br.tradingview.com/symbols/BMFBOVESPA-ELET6,https://www.google.com/search?q=ELETROBRAS Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
EMAE3,EMAE,EMAE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16993,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-EMAE3,https://www.google.com/search?q=EMAE Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
EMAE4,EMAE,EMAE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16993,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-EMAE4,https://www.google.com/search?q=EMAE Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
EMBR3,EMBRAER,EMBR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20087,EMBRAER S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-EMBR3,https://www.google.com/search?q=EMBRAER Material Aeronáutico e de Defesa,Material Aeronáutico e de Defesa,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa
