Código,Nome empresa,cd2,link Bovespa,Nome completo empresa,Link trading view,Link google,Segmento empresa,SETOR,SUBSETOR,SEGMENTO
PPAR3,POLPAR,PPAR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=13447,POLPAR S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-PPAR3,https://www.google.com/search?q=POLPAR Outros,Outros,Outros,Outros,Outros
PPLA11,PPLA,PPLA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=80152,PPLA PARTICIPATIONS LTD.,https://br.tradingview.com/symbols/BMFBOVESPA-PPLA11,https://www.google.com/search?q=PPLA Gestão de Recursos e Investimentos,Gestão de Recursos e Investimentos,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
PRIO3,PETRORIO,PRIO,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22187,PETRO RIO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-PRIO3,"https://www.google.com/search?q=PETRORIO Exploração, Refino e Distribuição","Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
PRMN3B,PROMAN,PRMN,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19232,PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,https://br.tradingview.com/symbols/BMFBOVESPA-PRMN3B,https://www.google.com/search?q=PROMAN Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
PRNR3,PRINER,PRNR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24236,PRINER SERVIÇOS INDUSTRIAIS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-PRNR3,https://www.google.com/search?q=PRINER Serviços Diversos,Serviços Diversos,Bens Industriais,Serviços Diversos,Serviços Diversos
PRPT3B,PROMPT PART,PRPT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18333,PROMPT PARTICIPACOES S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-PRPT3B,https://www.google.com/search?q=PROMPT PART Outros,Outros,Outros,Outros,Outros
PSSA3,PORTO SEGURO,PSSA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16659,PORTO SEGURO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-PSSA3,https://www.google.com/search?q=PORTO SEGURO Seguradoras,Seguradoras,Financeiro,Previdência e Seguros,Seguradoras
PTBL3,PORTOBELLO,PTBL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=13773,PBG S/A,https://br.tradingview.com/symbols/BMFBOVESPA-PTBL3,https://www.google.com/search?q=PORTOBELLO Produtos para Construção,Produtos para Construção,Bens Industriais,Construção e Engenharia,Produtos para Construção
PTCA11,PRATICA,PTCA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24546,PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,https://br.tradingview.com/symbols/BMFBOVESPA-PTCA11,https://www.google.com/search?q=PRATICA Máq. e Equip. Industriais,Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
PTCA3,PRATICA,PTCA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24546,PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,https://br.tradingview.com/symbols/BMFBOVESPA-PTCA3,https://www.google.com/search?q=PRATICA Máq. e Equip. Industriais,Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
PTNT3,PETTENATI,PTNT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9539,PETTENATI S.A. INDUSTRIA TEXTIL,https://br.tradingview.com/symbols/BMFBOVESPA-PTNT3,https://www.google.com/search?q=PETTENATI Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
PTNT4,PETTENATI,PTNT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9539,PETTENATI S.A. INDUSTRIA TEXTIL,https://br.tradingview.com/symbols/BMFBOVESPA-PTNT4,https://www.google.com/search?q=PETTENATI Fios e Tecidos,Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
QUAL3,QUALICORP,QUAL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22497,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-QUAL3,https://www.google.com/search?q=QUALICORP Análises e Diagnósticos,Análises e Diagnósticos,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
QUSW3,QUALITY SOFT,QUSW,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23302,QUALITY SOFTWARE S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-QUSW3,https://www.google.com/search?q=QUALITY SOFT Programas e Serviços,Programas e Serviços,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
QVQP3B,524 PARTICIP,QVQP,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16284,524 PARTICIPACOES S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-QVQP3B,https://www.google.com/search?q=524 PARTICIP Outros,Outros,Outros,Outros,Outros
RADL3,RAIADROGASIL,RADL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=5258,RAIA DROGASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RADL3,https://www.google.com/search?q=RAIADROGASIL Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
RAIL3,RUMO S.A.,RAIL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=17450,RUMO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RAIL3,https://www.google.com/search?q=RUMO S.A. Transporte Ferroviário,Transporte Ferroviário,Bens Industriais,Transporte,Transporte Ferroviário
RANI3,IRANI,RANI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=2429&idioma=pt-br,Irani Papel e Embalagem SA,https://br.tradingview.com/symbols/BMFBOVESPA-RANI3,https://www.google.com/search?q=IRANI Papel e Celulose,Papel e Celulose,Materiais Básicos,Madeira e Papel,Papel e Celulose
RAPT3,RANDON PART,RAPT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14109,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,https://br.tradingview.com/symbols/BMFBOVESPA-RAPT3,https://www.google.com/search?q=RANDON PART Material Rodoviário,Material Rodoviário,Bens Industriais,Material de Transporte,Material Rodoviário
RAPT4,RANDON PART,RAPT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14109,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,https://br.tradingview.com/symbols/BMFBOVESPA-RAPT4,https://www.google.com/search?q=RANDON PART Material Rodoviário,Material Rodoviário,Bens Industriais,Material de Transporte,Material Rodoviário
RCSL3,RECRUSUL,RCSL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12572,RECRUSUL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RCSL3,https://www.google.com/search?q=RECRUSUL Material Rodoviário,Material Rodoviário,Bens Industriais,Material de Transporte,Material Rodoviário
RCSL4,RECRUSUL,RCSL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12572,RECRUSUL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RCSL4,https://www.google.com/search?q=RECRUSUL Material Rodoviário,Material Rodoviário,Bens Industriais,Material de Transporte,Material Rodoviário
RDNI3,RNI,RDNI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20451,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RDNI3,https://www.google.com/search?q=RNI Incorporações,Incorporações,Consumo Cíclico,Construção Civil,Incorporações
RDOR3,REDE D OR,RDOR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24821&idioma=pt-br,Rede DOr São Luiz S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-RDOR3,https://www.google.com/search?q=REDE D OR Análises e Diagnósticos,Análises e Diagnósticos,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
